	Fixer	Generator	Tagger	Clerk	Archiver	Advisor 	Connector	Protector	Notifier 
checks	0.0007823331542527172	0.01287031996881135	0.008847076288616192	0.003973745104696797	0.0021647376132366723	0.0	0.004170560872787446	0.005843973584179195	0.0080862984711966
cleanup	0.003858743022893485	0.0	0.0017948212346693762	0.006718542506546768	0.0	0.0011090027666650491	0.0059676155935653955	0.03186845533034697	0.011318813550381349
code	0.008207008013760524	0.0038292714884696024	0.011964853854535051	0.00828741083186477	0.006531343410471657	0.00044977072750279656	0.010122678120488013	0.0056462515350004265	0.010382038278900276
comment	0.012915562607448413	0.005486293218333341	0.005990444290855455	0.006753109052456882	0.0	0.022657599704866367	0.001770506601487662	0.005112204420803275	0.005925077304768674
comments	0.006667319400376064	0.005310572785374177	0.0060306785797562285	0.009148466461400752	0.006193272017071703	0.0	0.0023599023755208814	0.007185472690846855	0.001470662238325282
complete	0.0017897988521367741	0.001418566898218062	0.0009722703224434335	0.004590052940179272	0.0025786854745302014	0.0	0.0055406885935285356	0.005417359782292819	0.006977722944710961
completed	0.012005750136560642	0.002632728224279333	0.006596178885790535	0.003398806674757754	0.0007717713025888149	0.00957814612811372	0.00622279324762623	0.011911805863981514	0.0008210614023511396
confirm	0.0018790976588778387	0.000931277440293576	0.008014395743719913	0.0019244500962477776	0.00035261824324324284	0.014485698023027935	0.00490565277896592	0.004462362371962964	0.009358112875182633
consider	0.009886124115689579	0.0	0.0025495267660369998	0.0018424090582990587	0.0028165693698234753	0.0	0.0013286753616153831	0.0005872011251758097	0.013657081818329104
contact	0.011318983442240086	0.0	0.0059294361930607095	0.004460914659938594	0.007030279390554543	1.695505243156925e-05	0.00770708391464936	7.100871085571119e-05	0.005452515837261453
continue	0.0021918367699396606	0.03895406143256428	0.006299896934394438	0.004190833271966515	0.0021417161894812563	0.009594955518996048	0.002523563185030405	0.00995908070384808	0.0005725566329377375
contribs	0.002328271000987172	0.009892829019206009	0.005820088141054843	0.006005363000431546	0.00564240210231836	0.006768607221812828	0.0021806291474744744	0.003404399191435395	0.004989282668401283
count	0.003227706122168308	0.00518419133290021	0.0031642951175275035	0.004384720047059044	0.007362429954946166	0.0	0.0010450343542857273	0.007315619393338886	0.0
created	0.0054581655462169155	0.0018696577340719257	0.006084822380735352	0.004670349543939625	0.006270679866144621	0.010383351922780407	0.012713395237492259	0.009555009266218452	0.005303477578777121
database	0.010199621238861869	0.0	0.0022251896865007003	0.0059089082747492035	0.002099999138054188	0.0038979761828483624	0.003069660889280234	0.00699442346835126	0.00600883412424179
debate	0.004274693830167748	0.0	0.001395635303751397	0.0020272254664520507	0.0014130388797224686	0.0	0.0007379870234898864	0.00014588338065079433	0.0
diff	0.0051960744184523285	0.018486724323079334	0.006643723460055569	0.00764088228394953	0.0013975103302327138	1.5650817629157353e-05	0.0022149939399084455	0.0	0.00696365565343908
double	0.0026653128694560245	0.0	0.007053839789965992	0.002332836715767486	0.009516687293388094	0.0	0.0040827643385510145	0.008053443373767918	0.001124783124910695
edit	0.002210781036829622	0.0026479915433403806	0.0023570997672413127	0.00338811318887297	0.007240652542311404	0.00042284669111345975	0.0033071849431389605	0.0018179761623141814	0.0005198048875432685
error	0.0023079252629585145	0.0006761133603238865	0.005924149972434583	0.0030636708663838892	0.004769782117523118	0.0011635646329024706	0.0019376040429424798	0.01197592285688752	0.0007123899566602353
exist	0.004969529013126013	0.009873846607500136	0.0028452338296933244	0.012040784377079929	0.003541747102489612	0.00019965805772416954	0.0032709557233871504	0.0	0.0006456307919722543
existing	0.0029811472498535844	0.004595125786163523	0.0008175209294485019	0.007206794475593833	0.0009819228315622853	5.687734150731759e-05	0.00349736450308566	0.0033045002261420167	0.00707319319883914
exists	0.005799273479165953	0.025345341019901574	0.0024126009635246403	0.005541288149486805	0.00739216254965699	0.0	0.0013449350208088275	0.014883791269096863	0.0001370182209619832
expect	0.0035108799324016157	0.01757087132795386	0.0037247371088273105	0.005428815847783549	0.0077925080434391005	0.005086515729473368	0.003139322402907247	0.005983375083565718	0.003216542139901015
expected	0.0020197457643029784	0.0	0.004979405884890293	0.0025251295995870173	0.008724076880304018	0.0	0.005306749946939049	0.006202129179827205	0.014693217883020037
find	0.011783878723541997	0.030566492117648957	0.002483932201366536	0.008567571010283914	0.009060491554067119	0.020621912887292315	0.006276858487073688	0.002655637898307822	0.0034066518847006657
fix	0.006798769188424087	0.0	0.0030193060327091286	0.009420475229797373	0.006616084724347378	0.006376877067951167	0.006310182903473659	0.002544092182422052	0.008535392389443671
fixes	0.009800770596045205	0.002386400455099228	0.014034379928709434	0.004593803937181932	0.012629469106498939	0.010864321733759681	0.0015375729898119898	0.006856062881433549	0.00601414787793223
fixing	0.021534093347911752	0.0	0.0049009703567648956	0.008647314597555708	0.008060270730819628	0.00017284430467448574	0.009467979153341008	0.0	0.010483824605119724
follow	0.004957203053050656	0.010766055498493863	0.001934783565336912	0.009780379611047992	0.005113997116265015	0.005058081357287889	0.0062212816286674865	0.0004302753533239116	0.006117217540808633
following	0.0042050966473487	0.00014045268657812162	0.0015260150110288106	0.0020199900951174436	0.0017630912162162164	0.0	0.0009222016454103045	0.00475009916975887	0.0016956540082410244
forward	0.0004874057597107414	0.0	0.0017561579275920953	0.001211360450524989	0.000767189494570303	0.011154459203036041	0.0	0.00716323391197723	0.0020925694353315987
frameerrors	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
function	0.002652635895142514	0.0	0.0012887814658779201	5.6419061548463655e-05	0.0010551328953018941	0.0	0.0037415982508830015	0.003971804396801241	0.0
future	0.004840568869350127	0.004819229306762295	0.00416382465541322	0.003831653601760072	0.0	0.0006430802225859745	0.0009471799859501077	0.007036970821130276	0.0003081322410833142
generate	0.0067851468431274166	0.00676466416446459	0.0024986511114485363	0.007701916923396871	0.009817835284896928	0.0	0.007189272075725386	0.0	0.003689507604073339
given	0.004560379878143721	0.008690968823530511	0.011612968832370257	0.0006431832814289232	0.006654042587778233	0.024787687117857872	0.0021864098480077142	0.005812998093121727	0.01682543740513517
go	0.0025155048976381973	0.0009457112654787079	0.0023125856926290095	0.0037954535103407903	0.007190367796688207	0.0030501534994751703	0.004522006992180292	0.003192972823958163	0.01244523589266122
going	0.008164372048589566	0.008415430797739052	0.004202944362784283	0.014674381333682086	0.004129750568472713	0.0	0.037104231413813665	0.005667950477657123	0.008403297944207133
hand	0.006071489032688375	0.008266508266508266	0.006506972174312058	0.0032696108622294424	0.005151399282087035	0.0	0.01214206967337038	0.013043897654290476	0.0010052166934189405
hide	0.0024017443863177	0.0005091810134179845	0.005153322615843337	0.0035991862029840483	0.007912076629663815	0.0	0.002898562793690039	0.014116261440250044	0.004470334095452567
ignore	0.0040767042057190655	0.0	0.006353712257783051	0.006187124624599442	0.002644153385729687	0.006782020972631158	0.006359396211198956	0.011305264046827104	0.005973173592627931
image	0.0011953196186885895	0.013027869631934984	0.007199943697713554	0.013515161966813105	0.009924579777310105	0.024886387841148074	0.010031448419554518	0.012747781246912249	0.0045364124617011305
input	0.0004400623992671535	0.0	0.0030518767802069783	0.001229739256948038	0.0030144829434079336	0.0	0.007757432904562452	0.002410216610140289	0.0028300601837187196
interwiki	0.04896671120081524	0.0030732425469267577	0.0029453332102070085	0.015185096509904156	0.008571187204442773	0.013670757807921699	0.06378556527935629	0.005604472318585698	0.013966147508893953
issue	0.0016970396628483413	0.005309725986922393	0.005042166278950789	0.004854936918486709	0.0039022578528774736	0.0031968898447285224	0.006192497577099223	0.01576999189766884	0.0037099617928369965
issues	0.00645999386463581	0.0	0.0009441941716672207	0.00333647299703512	0.0038069440670979405	0.012963395410041743	0.021571179469239303	0.007565937077320206	0.006855805823912947
know	0.002484790342671769	0.0007902016451918194	0.010728150693240962	0.006498959483387292	0.005839239338680026	0.0	0.005878233550115869	0.008691404862623358	0.002663240507383815
leave	0.014654252049717709	0.0005942778515847435	0.005147446537630338	0.007075118853873114	0.003982928613981857	0.012179764880230265	0.0036015253492918072	0.002471761721031744	0.005515987578304545
left	0.0029127309655800197	0.003471731845511751	0.0040872199237647205	0.008597682314599378	0.012074473567488479	0.0068588438364650785	0.0	0.009613703473225469	0.011622482571008088
limit	0.006506216340386911	0.00862091027364038	0.003827956094557118	0.00400399731067236	0.00017372910084374442	0.0	0.002893897432936598	0.0006806434423631975	0.004466917330209994
